Date,Open,High,Low,Close,Adj Close,Volume
2023-02-19,82.0,82.0,78.0,80.0,80.0,11400.0
2023-02-20,79.0,80.0,79.0,80.0,80.0,200.0
2023-02-21,79.0,80.0,79.0,79.0,79.0,1300.0
2023-02-22,79.0,82.0,79.0,80.0,80.0,3400.0
2023-02-23,81.0,81.0,79.0,79.0,79.0,1700.0
2023-02-24,79.0,82.0,77.0,77.0,77.0,10700.0
2023-02-25,79.0,82.0,77.0,77.0,77.0,10700.0
2023-02-26,79.0,82.0,77.0,77.0,77.0,10700.0
2023-02-27,77.0,85.0,77.0,79.0,79.0,5300.0
2023-02-28,78.0,79.0,76.0,79.0,79.0,1500.0
2023-03-01,78.0,79.0,78.0,79.0,79.0,1300.0
2023-03-02,79.0,79.0,77.0,79.0,79.0,3400.0
2023-03-03,81.0,81.0,78.0,78.0,78.0,2500.0
2023-03-04,81.0,81.0,78.0,78.0,78.0,2500.0
2023-03-05,81.0,81.0,78.0,78.0,78.0,2500.0
2023-03-06,77.0,81.0,77.0,78.0,78.0,15900.0
2023-03-07,78.0,80.0,78.0,79.0,79.0,1300.0
2023-03-08,79.0,80.0,79.0,79.0,79.0,1400.0
2023-03-09,80.0,80.0,80.0,80.0,80.0,1000.0
2023-03-10,80.0,80.0,77.0,77.0,77.0,5500.0
2023-03-11,80.0,80.0,77.0,77.0,77.0,5500.0
2023-03-12,80.0,80.0,77.0,77.0,77.0,5500.0
2023-03-13,77.0,84.0,76.0,76.0,76.0,8000.0
2023-03-14,76.0,81.0,71.0,80.0,80.0,6800.0
2023-03-15,80.0,80.0,75.0,77.0,77.0,8500.0
2023-03-16,76.0,77.0,76.0,77.0,77.0,4200.0
2023-03-17,78.0,78.0,78.0,78.0,78.0,1400.0
2023-03-18,78.0,78.0,78.0,78.0,78.0,1400.0
2023-03-19,78.0,78.0,78.0,78.0,78.0,1400.0
2023-03-20,78.0,78.0,77.0,78.0,78.0,2200.0
2023-03-21,78.0,78.0,78.0,78.0,78.0,1400.0
2023-03-22,78.0,78.0,78.0,78.0,78.0,1400.0
2023-03-23,78.0,78.0,78.0,78.0,78.0,1400.0
2023-03-24,78.0,78.0,78.0,78.0,78.0,1600.0
2023-03-25,78.0,78.0,78.0,78.0,78.0,1600.0
2023-03-26,78.0,78.0,78.0,78.0,78.0,1600.0
2023-03-27,79.0,79.0,78.0,78.0,78.0,1400.0
2023-03-28,80.0,80.0,80.0,80.0,80.0,900.0
2023-03-29,80.0,80.0,79.0,79.0,79.0,1500.0
2023-03-30,81.0,81.0,79.0,79.0,79.0,3700.0
2023-03-31,81.0,81.0,80.0,80.0,80.0,2200.0
2023-04-01,81.0,81.0,80.0,80.0,80.0,2200.0
2023-04-02,81.0,81.0,80.0,80.0,80.0,2200.0
2023-04-03,80.0,80.0,79.0,79.0,79.0,1500.0
2023-04-04,79.0,80.0,79.0,80.0,80.0,400.0
2023-04-05,80.0,80.0,80.0,80.0,80.0,1600.0
2023-04-06,80.0,80.0,80.0,80.0,80.0,600.0
2023-04-07,80.0,80.0,80.0,80.0,80.0,600.0
2023-04-08,80.0,80.0,80.0,80.0,80.0,600.0
2023-04-09,80.0,80.0,80.0,80.0,80.0,600.0
2023-04-10,79.0,79.0,76.0,76.0,76.0,10500.0
2023-04-11,75.0,76.0,75.0,76.0,76.0,7400.0
2023-04-12,75.0,79.0,71.0,73.0,73.0,23800.0
2023-04-13,80.0,84.0,73.0,76.0,76.0,104900.0
2023-04-14,77.0,78.0,71.0,76.0,76.0,58200.0
2023-04-15,77.0,78.0,71.0,76.0,76.0,58200.0
2023-04-16,77.0,78.0,71.0,76.0,76.0,58200.0
2023-04-17,76.0,79.0,73.0,76.0,76.0,11500.0
2023-04-18,76.0,79.0,71.0,72.0,72.0,141500.0
2023-04-19,76.0,79.0,71.0,72.0,72.0,141500.0
2023-04-20,76.0,79.0,71.0,72.0,72.0,141500.0
2023-04-21,76.0,79.0,71.0,72.0,72.0,141500.0
2023-04-22,76.0,79.0,71.0,72.0,72.0,141500.0
2023-04-23,76.0,79.0,71.0,72.0,72.0,141500.0
2023-04-24,76.0,79.0,71.0,72.0,72.0,141500.0
2023-04-25,76.0,79.0,71.0,72.0,72.0,141500.0
2023-04-26,72.0,73.0,67.0,71.0,71.0,22800.0
2023-04-27,72.0,72.0,71.0,71.0,71.0,7600.0
2023-04-28,83.0,83.0,72.0,72.0,72.0,51400.0
2023-04-29,83.0,83.0,72.0,72.0,72.0,51400.0
2023-04-30,83.0,83.0,72.0,72.0,72.0,51400.0
2023-05-01,83.0,83.0,72.0,72.0,72.0,51400.0
2023-05-02,82.0,82.0,72.0,74.0,74.0,15600.0
2023-05-03,74.0,74.0,71.0,72.0,72.0,10800.0
2023-05-04,76.0,76.0,76.0,76.0,76.0,100.0
2023-05-05,78.0,78.0,72.0,72.0,72.0,4700.0
2023-05-06,78.0,78.0,72.0,72.0,72.0,4700.0
2023-05-07,78.0,78.0,72.0,72.0,72.0,4700.0
2023-05-08,72.0,74.0,71.0,74.0,74.0,13700.0
2023-05-09,73.0,77.0,73.0,76.0,76.0,9200.0
2023-05-10,73.0,78.0,73.0,74.0,74.0,14000.0
2023-05-11,79.0,79.0,73.0,75.0,75.0,7800.0
2023-05-12,73.0,76.0,72.0,72.0,72.0,19300.0
2023-05-13,73.0,76.0,72.0,72.0,72.0,19300.0
2023-05-14,73.0,76.0,72.0,72.0,72.0,19300.0
2023-05-15,72.0,74.0,72.0,74.0,74.0,11400.0
2023-05-16,73.0,74.0,71.0,71.0,71.0,28500.0
2023-05-17,72.0,73.0,72.0,73.0,73.0,1900.0
2023-05-18,72.0,73.0,72.0,73.0,73.0,1900.0
